,s9_q4_hospitalvisit,s2_q21a_powergrid,ownasset_0,s53_q6_hunger,s4_q1_agactivity,urban,hhsize,y_financial_actions
71,0,0,1,0,0,0,12,0
72,0,1,0,0,0,0,1,0
73,0,0,0,0,0,0,7,0
74,0,0,1,1,0,0,2,0
75,-1,1,0,1,0,0,-1,0
76,0,0,0,0,0,0,8,0
77,0,1,1,0,0,1,5,0
78,0,0,0,1,0,0,2,0
79,1,1,0,0,0,0,2,1
80,0,1,0,0,0,0,0,0
81,0,1,0,0,0,1,1,0
82,1,0,0,1,-1,1,0,0
83,0,1,0,0,0,1,2,0
84,1,0,0,1,0,0,4,0
85,0,1,0,0,0,0,3,1
86,1,1,0,0,0,1,1,1
87,0,0,0,0,0,0,0,0
88,0,1,0,0,0,0,4,0
89,0,0,0,0,0,0,3,1
90,0,0,0,0,0,0,0,1
91,1,0,1,1,0,0,1,0
92,0,1,0,0,0,0,5,0
93,1,1,0,1,0,1,0,0
94,0,1,0,0,0,0,0,0
95,0,1,0,0,0,1,3,1
96,0,1,0,0,0,1,5,0
97,0,1,1,0,0,1,0,0
98,0,0,0,1,0,0,4,1
99,0,1,0,0,0,0,3,1
100,-1,1,1,1,0,1,12,1
101,0,0,0,1,0,0,0,0
102,1,1,0,0,0,1,4,0
103,0,0,0,0,0,1,3,0
104,0,1,1,1,0,0,11,0
105,0,0,0,1,0,0,5,0
106,0,1,1,1,0,1,4,0
107,-1,0,0,0,0,0,6,0
108,-1,0,0,-1,0,0,4,1
109,0,0,0,0,0,0,4,0
110,0,0,0,0,0,0,8,0
111,-1,1,0,1,0,0,8,1
112,0,0,0,0,0,0,1,0
113,0,1,0,0,0,1,2,1
114,1,1,1,1,0,0,7,0
115,0,0,0,0,0,0,2,0
116,-1,1,0,1,0,0,3,1
117,0,0,0,0,0,0,6,0
118,0,1,0,1,0,1,2,0
119,0,0,0,1,0,0,5,0
120,0,0,1,0,0,0,0,0
121,0,0,1,0,0,0,8,0
122,-1,0,0,0,0,0,1,0
123,0,1,0,1,0,1,3,0
124,-1,1,1,-1,0,-1,5,0
125,0,0,0,0,0,0,5,0
126,0,1,0,1,0,1,3,0
127,0,1,0,0,0,1,14,0
128,0,1,0,1,0,1,0,0
129,0,0,1,0,0,0,4,0
130,0,1,0,0,0,0,1,1
131,-1,1,0,1,0,1,4,1
132,0,0,1,0,0,0,5,1
133,0,0,1,0,0,0,1,0
134,1,0,0,1,0,1,5,0
135,0,1,0,0,0,1,4,0
136,0,1,0,0,0,0,4,1
137,1,0,0,1,0,0,1,0
138,0,0,0,0,0,0,2,0
139,0,0,0,0,0,0,3,1
140,0,1,0,0,0,1,1,0
141,-1,0,0,-1,0,0,5,0
142,1,0,0,1,0,0,5,1
143,0,1,0,0,0,0,1,0
144,1,0,0,1,0,0,3,0
145,0,0,1,0,0,0,2,0
146,0,1,0,0,0,0,0,0
147,-1,1,0,1,0,1,2,0
148,-1,0,1,1,0,0,5,1
149,0,1,0,0,0,1,0,1
150,0,0,1,1,0,0,4,1
151,0,1,0,1,0,1,10,0
152,1,1,0,1,0,1,8,0
153,0,1,0,0,0,0,1,1
154,0,0,0,1,0,1,7,0
155,0,1,1,0,0,0,0,0
156,0,1,0,1,0,1,2,0
157,0,0,0,0,0,0,1,0
158,0,0,1,1,0,0,12,0
159,0,1,0,0,0,1,3,0
160,-1,0,1,1,0,0,10,0
161,0,0,0,0,0,0,0,0
162,-1,1,0,-1,0,0,5,1
163,0,1,0,1,0,1,6,0
164,0,0,0,1,0,0,1,0
165,0,0,0,1,0,0,5,0
166,0,0,1,1,0,0,5,0
167,0,0,0,0,0,0,2,0
168,0,0,0,0,0,1,2,0
169,0,1,1,1,0,1,3,0
170,0,0,0,1,0,0,6,0
171,1,0,0,1,0,0,10,1
172,0,0,0,0,0,0,6,0
173,0,0,0,0,0,0,2,0
174,0,0,0,1,0,0,4,0
175,0,0,0,0,0,0,0,1
176,0,0,0,0,0,0,5,0
177,-1,0,0,1,0,0,3,1
178,0,1,0,1,0,0,4,0
179,0,0,0,0,0,0,11,0
180,0,0,0,0,0,0,9,0
181,0,1,0,0,0,1,2,0
182,0,0,0,0,0,0,2,0
183,0,1,0,0,0,0,2,0
184,0,0,1,0,0,0,0,0
185,0,0,0,0,0,0,4,0
186,0,0,0,1,0,0,1,0
187,0,0,0,1,0,0,4,0
188,0,0,0,0,0,0,3,0
189,0,0,0,1,0,0,4,0
190,0,0,0,0,0,0,0,0
191,0,1,0,0,0,1,2,0
192,0,0,0,1,0,0,2,0
193,0,0,0,0,0,0,0,0
194,0,1,0,1,0,0,3,0
195,0,1,0,1,0,1,-1,0
196,0,0,0,1,0,0,1,0
197,0,1,0,0,0,0,1,0
198,0,1,1,0,0,0,2,1
199,0,1,0,0,0,1,1,1
200,-1,0,1,1,0,0,1,1
201,0,1,0,0,0,0,2,0
202,1,0,1,0,0,0,4,0
203,0,0,0,1,0,0,1,0
204,0,1,1,0,0,1,1,1
205,-1,1,1,1,0,1,4,0
206,0,1,0,0,0,1,3,0
207,0,0,0,0,0,0,4,0
208,0,1,0,1,0,0,3,0
209,0,1,0,1,0,1,7,0
210,0,0,0,1,0,0,1,0
211,0,1,0,0,0,0,8,0
212,0,1,0,0,0,1,4,1
213,0,1,0,1,0,0,5,1
214,0,1,0,0,0,0,1,1
215,-1,1,0,0,0,0,0,0
216,0,1,0,0,0,1,3,0
217,1,0,0,1,0,0,1,0
218,0,1,0,1,0,0,0,1
219,0,0,0,0,0,0,3,1
220,0,1,0,0,0,0,0,0
221,0,1,0,0,0,1,3,1
222,0,0,0,1,0,0,3,0
223,-1,1,0,0,0,1,5,1
224,0,0,0,1,0,0,11,0
225,0,0,0,0,0,0,8,0
226,0,0,0,1,0,1,6,1
227,0,0,0,0,0,0,1,1
228,1,1,0,1,0,1,2,0
229,0,1,0,0,0,1,0,0
230,0,0,0,0,0,0,6,0
231,0,0,0,0,0,0,6,0
232,-1,0,1,1,0,0,8,1
233,0,1,1,0,0,1,5,0
234,0,0,0,0,0,0,5,0
235,0,1,0,0,0,1,5,1
236,1,1,0,1,0,1,3,0
237,0,0,0,0,0,0,0,0
238,-1,1,0,1,0,1,2,1
239,1,0,0,0,0,0,0,1
240,0,1,0,0,0,0,1,0
241,0,1,0,0,0,0,3,0
242,0,0,0,0,0,0,2,0
243,0,1,0,0,0,0,10,0
244,0,0,0,0,0,1,5,0
245,-1,0,0,1,0,0,6,0
246,0,0,1,1,0,0,3,1
247,1,1,0,0,0,1,5,1
248,-1,0,0,0,0,0,1,1
249,0,0,0,0,0,0,2,0
250,0,1,0,0,0,0,10,1
251,0,0,0,0,0,0,0,1
252,0,1,0,1,0,0,3,0
253,0,1,0,0,0,0,0,0
254,-1,1,0,0,0,1,4,1
255,1,1,0,1,0,0,3,0
256,0,1,0,1,0,1,1,1
257,0,1,0,1,0,0,2,0
258,0,1,0,0,0,0,2,0
259,0,0,1,0,0,0,8,0
260,1,0,0,1,0,0,2,0
261,0,1,0,0,0,0,7,0
262,0,1,0,1,0,1,1,0
263,0,1,1,1,0,0,4,0
264,0,0,0,1,0,0,6,1
265,0,0,1,0,0,0,9,1
266,0,0,0,1,0,0,5,0
267,0,0,0,1,0,0,0,0
268,0,0,1,1,0,0,0,0
269,1,0,1,1,0,0,1,0
270,-1,1,0,1,0,1,3,1
271,0,0,0,0,0,0,6,0
272,0,1,0,1,0,1,1,0
273,-1,0,0,1,1,0,1,1
274,-1,1,0,1,0,0,1,1
275,1,1,0,0,0,1,2,0
276,0,0,0,1,0,0,1,0
277,0,1,0,0,0,0,0,0
278,0,0,0,0,0,0,11,0
279,0,0,0,1,0,0,3,0
280,0,1,0,1,0,1,6,0
281,0,1,0,1,0,0,3,0
282,0,0,1,0,0,0,2,1
283,0,0,0,0,0,0,11,0
284,0,0,0,0,0,0,3,0
285,0,0,0,0,1,0,11,1
286,1,1,1,1,0,0,5,0
287,0,1,0,1,0,0,2,1
288,0,0,1,0,0,0,0,1
289,1,0,1,1,0,0,1,1
290,0,0,0,0,0,0,0,0
291,0,1,0,0,0,0,5,1
292,0,1,0,0,0,1,1,0
293,0,1,0,0,0,1,0,1
294,0,0,1,0,0,0,4,0
295,0,0,0,0,0,0,1,1
296,0,0,0,1,0,0,7,0
297,0,1,0,0,0,0,0,0
298,0,0,0,0,0,0,1,0
299,0,1,0,0,0,0,2,0
300,1,0,0,0,0,0,1,1
301,0,0,0,0,0,0,14,0
302,-1,1,0,1,0,1,6,1
303,0,0,0,1,0,0,5,0
304,0,1,0,0,0,0,5,0
305,0,1,0,1,0,0,0,0
306,0,0,0,0,0,0,5,0
307,0,0,0,0,0,0,7,0
308,0,0,0,0,0,0,1,0
309,0,1,0,0,0,1,1,0
310,1,0,1,1,0,0,0,0
311,0,1,0,0,0,1,0,0
312,-1,0,0,1,0,0,1,0
313,0,1,0,0,0,1,2,1
314,0,1,0,0,0,0,10,0
315,0,1,0,0,0,1,6,0
316,0,0,0,0,0,0,10,0
317,0,0,0,0,0,0,7,0
318,0,0,0,0,0,0,7,1
319,0,1,0,0,0,1,2,0
320,0,1,0,1,0,1,-1,0
321,0,1,0,0,0,1,2,0
322,-1,0,0,1,0,0,7,1
323,0,1,0,1,0,1,2,0
324,0,0,1,0,0,0,5,0
325,0,1,0,0,0,1,2,0
326,0,1,0,0,0,1,2,1
327,0,1,0,0,0,0,5,0
328,0,1,0,0,0,1,3,1
329,0,0,0,0,0,-1,0,0
330,1,1,0,1,0,0,2,1
331,0,0,0,0,0,0,1,1
332,0,1,0,0,0,0,0,0
333,-1,0,0,1,0,0,0,0
334,0,1,0,0,0,1,1,0
335,0,1,0,0,0,0,5,0
336,-1,0,0,1,0,0,3,1
337,0,0,1,0,0,0,0,0
338,0,0,1,0,0,0,0,0
339,0,0,0,0,0,0,4,1
340,-1,0,0,1,0,0,5,0
341,1,0,0,0,0,0,1,0
342,0,1,0,1,0,1,7,0
343,0,0,0,0,0,0,5,1
344,0,1,0,1,0,0,1,1
345,0,0,0,0,-1,1,0,0
346,0,0,0,0,0,0,3,0
347,0,0,0,0,1,0,1,0
348,0,1,0,0,0,1,2,0
349,1,0,0,0,0,0,9,0
350,0,0,0,0,0,0,1,1
351,0,0,0,0,1,0,11,0
352,0,0,0,0,1,0,4,0
353,0,0,0,1,1,0,6,0
354,0,0,1,1,0,0,8,0
355,0,0,1,0,0,0,2,0
356,0,1,1,0,0,0,-1,1
357,0,0,0,1,0,0,10,0
358,-1,0,0,0,0,0,3,1
359,0,0,0,0,0,0,8,1
360,0,1,0,1,0,1,1,0
361,0,1,0,0,0,1,14,0
362,0,0,0,0,0,0,5,0
363,0,0,0,0,1,0,11,0
364,0,1,0,0,0,0,0,0
365,0,1,0,0,0,0,5,0
366,0,0,1,0,0,0,0,0
367,1,0,0,1,0,0,8,1
368,0,1,0,0,0,1,2,1
369,1,0,0,0,0,0,2,1
370,0,1,1,0,0,0,5,1
371,0,1,0,0,0,1,1,0
372,1,1,0,0,0,0,7,1
373,0,0,1,0,0,0,2,0
374,0,1,0,1,0,1,1,0
375,0,1,0,0,0,0,2,0
376,0,1,0,0,0,0,3,0
377,-1,0,1,1,0,0,4,0
378,0,1,0,1,0,0,4,0
379,1,0,0,0,0,0,3,0
380,-1,1,0,1,0,0,0,0
381,0,1,0,0,0,1,2,0
382,0,1,0,0,0,0,0,0
383,0,0,1,0,0,0,2,0
384,0,0,1,1,0,0,1,1
385,1,1,0,1,0,0,5,1
386,0,0,0,0,0,0,6,0
387,0,1,0,1,0,0,2,0
388,0,0,0,0,0,0,14,0
389,0,0,0,0,0,0,2,0
390,0,0,0,0,0,0,2,0
391,0,0,0,1,0,0,5,0
392,1,0,0,1,0,0,11,0
393,0,0,1,0,0,0,4,0
394,0,0,1,1,0,0,5,1
395,0,0,0,1,0,0,1,0
396,0,0,1,0,0,0,0,0
397,0,0,0,0,0,0,0,1
398,1,0,0,0,0,0,4,0
399,0,0,0,0,0,0,1,1
400,0,1,0,1,0,0,8,1
401,1,0,1,0,0,0,5,1
402,0,0,1,0,0,0,4,0
403,0,0,0,0,0,0,9,0
404,-1,1,1,1,0,0,1,1
405,0,0,0,0,0,0,3,0
406,1,1,0,1,0,1,5,0
407,0,0,1,0,0,0,0,0
408,-1,1,0,0,0,0,5,1
409,-1,0,0,1,0,0,1,1
410,0,1,0,1,0,1,4,0
411,0,1,0,0,0,0,14,0
412,0,1,0,0,0,0,3,0
413,-1,0,0,0,0,0,5,0
414,0,1,0,1,0,0,4,0
415,0,0,0,0,0,0,9,0
416,0,0,0,1,0,0,4,0
417,-1,0,1,1,0,0,8,0
418,0,1,0,0,0,0,5,1
419,0,0,1,0,0,0,2,0
420,0,0,0,1,0,0,8,0
421,0,1,0,1,0,0,1,0
422,-1,0,0,1,0,0,11,0
423,0,1,0,1,0,0,3,0
424,0,1,0,0,0,0,3,0
425,-1,0,1,0,0,0,0,0
426,0,1,1,0,0,0,3,0
427,1,0,0,1,1,0,1,0
428,0,0,1,0,0,0,1,0
429,0,0,1,0,0,0,1,1
430,0,1,0,1,0,0,1,1
431,0,0,0,0,0,0,12,0
432,0,1,0,0,0,0,3,0
433,0,1,0,1,0,0,5,0
434,-1,0,0,1,-1,1,5,1
435,1,0,0,1,0,1,6,1
436,1,1,0,0,0,1,3,0
437,0,1,0,0,0,1,1,0
438,1,0,0,1,1,0,2,0
439,0,0,0,0,0,1,6,0
440,0,0,1,1,0,0,-1,0
441,1,0,1,0,0,0,4,0
442,0,1,0,1,0,0,1,0
443,0,1,0,0,0,1,5,0
444,1,0,0,1,0,0,7,0
445,0,1,0,1,0,1,2,0
446,1,0,0,1,0,0,1,0
447,0,1,0,1,1,0,2,0
448,1,1,0,1,0,0,7,1
449,0,1,1,1,0,0,0,0
450,0,1,0,1,0,1,2,0
451,0,0,1,1,0,0,5,1
452,1,0,0,1,0,0,3,0
453,-1,0,0,1,0,0,1,1
454,0,1,1,0,0,0,5,0
455,0,0,1,0,0,0,0,0
456,1,1,0,1,0,0,8,0
457,0,1,0,0,0,1,1,1
458,0,0,0,0,0,0,3,1
459,-1,0,0,1,0,0,7,1
460,0,1,1,0,0,1,5,0
461,1,0,0,0,0,0,5,0
462,0,0,1,0,0,0,8,0
463,0,0,0,0,0,0,9,0
464,0,1,0,0,0,1,2,0
465,0,0,1,1,0,0,0,1
466,0,0,0,0,0,0,3,0
467,0,1,0,0,0,0,5,0
468,0,0,0,0,0,0,1,1
469,0,1,0,0,0,0,4,0
470,-1,1,0,1,0,0,1,1
471,0,0,0,0,0,0,3,0
472,0,0,0,0,0,1,1,1
473,0,0,0,1,0,0,0,0
474,0,0,0,1,0,0,4,1
475,0,1,0,1,0,1,5,0
476,0,0,1,0,0,0,8,1
477,0,1,0,0,0,0,1,1
478,0,1,0,0,0,0,0,0
479,0,0,1,0,0,0,1,1
480,0,0,0,0,0,0,0,0
481,0,1,0,0,0,0,3,0
482,0,0,1,1,0,0,0,0
483,0,0,0,0,0,0,10,1
484,0,0,0,0,0,0,4,0
485,0,1,0,0,0,0,3,0
486,0,1,0,0,0,0,5,0
487,0,0,0,0,0,0,1,1
488,1,0,0,1,0,0,1,0
489,0,0,1,0,0,0,4,0
490,0,1,0,0,0,0,2,0
491,0,0,0,0,0,0,3,0
492,0,1,0,0,0,0,9,0
493,0,1,0,1,0,0,0,1
494,0,0,0,0,0,0,6,0
495,0,0,0,0,0,0,5,1
496,0,1,0,0,0,0,1,0
497,0,1,0,1,0,1,1,0
498,0,0,0,0,0,0,3,1
499,0,0,0,1,0,0,0,0
500,1,1,0,1,0,1,4,0
501,0,0,0,1,0,0,2,1
502,0,0,0,0,0,0,0,1
503,0,1,0,0,0,1,6,0
504,0,1,0,0,0,0,5,1
505,0,1,0,0,0,1,3,1
506,0,0,0,0,0,0,0,0
507,0,0,0,0,0,0,9,1
508,0,0,1,0,0,0,3,0
509,0,1,0,0,0,1,1,0
510,0,1,0,0,0,0,7,1
511,1,0,0,0,0,0,4,1
512,1,1,0,1,0,0,1,0
513,1,0,0,0,0,0,2,1
514,0,1,0,0,0,1,5,0
515,0,0,0,0,0,0,4,0
516,0,0,0,0,0,0,0,0
517,-1,1,0,0,0,0,4,1
518,0,0,0,0,0,0,-1,0
519,0,1,0,1,0,0,0,1
520,0,0,0,0,0,0,5,0
521,0,1,0,0,0,0,0,0
522,0,1,0,1,0,1,3,0
523,0,1,0,0,0,0,0,0
524,1,0,0,1,0,0,8,0
525,1,0,0,0,0,0,1,0
526,0,1,0,0,0,0,4,1
527,0,1,0,1,0,0,5,0
528,0,1,0,0,0,0,7,0
529,0,0,0,0,0,0,10,0
530,1,0,1,1,0,0,5,1
531,0,0,1,0,0,0,5,0
532,0,0,0,1,0,0,0,0
533,0,1,0,1,0,0,1,0
534,0,0,0,0,0,0,5,0
535,0,1,0,0,0,0,0,0
536,0,0,1,0,0,0,4,1
537,0,0,0,0,0,0,5,0
538,-1,0,0,0,0,0,8,0
539,0,0,0,0,0,1,5,0
540,0,0,1,0,0,0,2,1
541,0,1,0,1,0,1,3,0
542,0,0,0,0,0,0,0,0
543,1,1,1,0,0,0,12,1
544,0,0,0,0,0,0,3,1
545,0,1,0,0,0,0,1,1
546,0,0,0,0,0,0,5,1
547,1,0,0,0,0,0,2,0
548,0,0,0,0,0,0,4,0
549,0,1,0,0,0,0,9,0
550,0,1,0,0,0,1,1,0
551,0,0,0,0,0,0,5,0
552,0,0,0,0,0,0,2,0
553,0,0,0,0,0,0,6,0
554,0,0,0,1,0,0,2,1
555,0,1,0,1,0,1,0,0
556,0,1,0,0,0,1,0,0
557,0,0,0,1,0,0,2,0
558,0,0,0,1,0,1,14,0
559,-1,1,0,1,0,1,0,1
560,0,1,0,0,0,0,0,0
561,1,1,0,0,0,0,1,1
562,0,1,0,0,0,0,1,0
563,1,1,0,1,0,0,8,0
564,-1,0,0,1,0,0,1,1
565,0,0,0,0,0,0,0,0
566,0,1,1,0,0,0,12,0
567,0,1,0,0,0,1,4,1
568,0,1,0,1,0,1,7,1
569,0,1,0,0,0,1,2,0
570,0,1,0,0,0,1,2,1
571,0,1,0,1,0,0,7,0
572,0,1,0,1,0,1,8,0
573,0,1,0,0,0,1,1,1
574,0,1,0,1,0,1,4,0
575,0,0,0,0,0,0,0,1
576,0,0,0,0,0,1,4,0
577,0,1,0,0,0,1,-1,0
578,0,0,0,0,0,0,1,0
579,0,0,0,1,0,0,5,0
580,0,0,0,1,0,0,4,0
581,0,0,1,1,0,0,0,0
582,1,0,0,1,0,0,8,1
583,0,0,1,1,0,0,0,0
584,0,1,1,1,0,0,3,0
585,-1,1,0,1,0,1,5,0
586,0,0,0,0,0,0,2,0
587,0,0,0,0,0,0,2,0
588,0,0,0,0,0,0,1,1
589,0,0,1,0,0,0,0,0
590,0,0,0,0,0,0,1,1
591,-1,0,1,1,0,0,12,0
592,0,0,0,0,0,0,4,0
593,0,0,0,1,0,0,5,1
594,1,0,0,1,0,0,3,1
595,-1,1,0,1,-1,1,4,1
596,0,1,1,0,0,1,7,1
597,0,1,0,0,0,1,0,0
598,0,1,0,0,0,1,2,0
599,0,1,0,0,0,0,2,0
600,0,0,0,0,0,0,0,1
601,0,0,0,0,0,0,4,0
602,0,1,0,0,0,0,5,0
603,1,1,0,1,0,0,4,0
604,-1,0,0,1,0,0,5,0
605,0,1,0,1,0,0,3,0
606,0,0,0,0,0,0,2,1
607,0,0,1,1,0,0,0,0
608,0,0,1,1,0,0,0,0
609,0,0,1,0,0,0,0,0
610,0,0,0,1,0,0,7,0
611,1,1,0,0,0,0,4,0
612,-1,1,0,1,0,1,1,1
613,0,1,0,0,0,0,0,1
614,0,0,0,1,0,0,4,0
615,1,1,0,1,0,0,8,1
616,0,0,0,1,0,0,8,1
617,0,0,0,0,0,0,2,0
618,0,0,0,1,0,0,0,0
619,0,1,0,0,0,0,7,0
620,0,0,1,0,0,0,2,0
621,0,1,1,0,0,0,0,0
622,1,0,1,1,0,0,7,0
623,0,1,0,0,0,1,1,0
624,0,1,0,0,0,1,5,0
625,0,1,0,1,0,0,0,0
626,0,0,0,0,0,0,2,0
627,0,0,1,0,0,0,12,0
628,1,0,1,1,0,0,5,0
629,0,1,0,0,0,0,1,0
630,0,0,0,0,0,0,5,1
631,0,1,0,0,0,1,5,0
632,0,0,1,0,0,0,1,1
633,0,1,0,0,0,0,5,0
634,0,0,0,0,0,0,1,0
635,-1,0,1,0,0,0,9,1
636,0,1,0,0,0,1,6,0
637,0,0,0,0,0,0,6,0
638,0,1,0,1,0,0,3,0
639,0,1,0,1,0,1,6,1
640,0,1,0,0,0,0,6,0
641,0,1,0,1,0,0,1,1
642,0,0,0,0,0,0,14,0
643,1,1,0,1,0,0,6,0
644,0,1,0,0,0,1,3,0
645,-1,0,0,0,0,0,5,1
646,0,1,0,0,0,0,0,0
647,1,0,0,0,0,0,0,0
648,0,1,0,1,0,1,2,0
649,0,0,0,0,0,0,1,1
650,0,1,0,0,0,0,7,0
651,0,0,0,0,0,0,2,0
652,0,1,0,0,0,0,1,1
653,0,1,0,1,0,1,3,1
654,0,1,0,0,0,1,-1,0
655,0,0,0,1,0,0,6,0
656,0,0,0,0,0,0,11,0
657,1,0,1,0,0,0,12,0
658,1,0,0,0,0,0,2,0
659,0,1,0,0,0,0,5,0
660,0,0,0,0,0,0,1,1
661,-1,0,1,1,0,0,0,1
662,-1,0,0,1,0,0,0,1
663,-1,1,1,1,0,0,4,0
664,0,0,0,0,0,0,4,1
665,0,0,0,0,0,0,6,0
666,1,0,0,1,0,0,2,1
667,-1,1,0,1,-1,1,2,1
668,-1,1,0,1,0,0,1,0
669,0,1,0,0,0,1,9,0
670,0,0,1,0,0,0,0,0
671,0,1,0,0,0,1,0,0
672,0,0,0,0,0,0,3,0
673,-1,1,0,1,0,0,7,1
674,0,1,0,0,0,0,0,0
675,0,0,0,0,0,0,0,0
676,0,1,0,0,0,1,9,0
677,0,1,0,0,0,1,2,0
678,1,0,0,1,1,0,6,0
679,0,1,0,1,0,1,2,0
680,0,1,0,0,0,1,1,0
681,0,1,1,0,0,0,0,0
682,0,1,0,0,0,1,0,0
683,0,1,0,1,0,0,0,1
684,0,0,0,0,0,0,10,0
685,0,1,0,0,0,0,5,1
686,0,0,0,1,0,0,1,0
687,0,1,1,0,0,0,0,0
688,1,1,0,0,0,0,2,0
689,0,1,0,0,0,1,3,1
690,0,0,0,1,0,0,4,0
691,0,1,0,1,0,1,9,0
692,0,0,1,1,0,0,5,1
693,0,1,0,0,0,1,1,0
694,0,1,0,1,0,1,1,0
695,-1,1,0,1,0,1,1,1
696,0,0,0,0,0,0,2,0
697,0,0,0,0,0,0,1,1
698,1,0,0,1,0,0,8,1
699,-1,0,0,1,0,0,1,1
700,0,0,0,0,0,0,0,0
701,0,0,0,0,0,0,7,0
702,0,1,0,1,0,0,9,0
703,0,0,1,1,0,0,10,0
704,0,0,0,0,0,0,5,0
705,0,1,0,0,0,0,3,1
706,0,1,0,0,0,1,3,0
707,1,0,0,1,0,0,5,0
708,0,0,1,1,0,0,1,0
709,-1,0,0,1,0,0,0,0
710,0,1,0,1,0,1,12,1
711,0,1,1,0,0,0,3,1
712,-1,0,0,1,0,0,5,1
713,0,1,0,0,0,1,0,0
714,-1,0,0,1,0,0,10,0
715,0,1,0,0,0,1,4,1
716,0,1,0,1,0,0,1,1
717,1,0,0,1,0,0,4,1
718,0,0,0,0,0,0,8,1
719,-1,0,0,1,0,0,0,1
720,1,1,0,1,0,0,4,0
721,0,1,0,0,0,1,2,1
722,0,1,0,0,0,1,12,1
723,0,1,0,0,0,0,4,1
724,0,0,0,0,0,0,11,0
725,1,0,0,1,0,0,6,0
726,0,0,1,0,0,0,11,0
727,0,1,0,0,0,0,5,1
728,0,1,0,1,0,0,4,0
729,0,1,0,0,0,0,0,0
730,0,1,0,1,0,1,2,1
731,0,1,0,1,0,1,1,0
732,0,0,0,1,0,0,3,1
733,0,0,0,0,0,0,8,1
734,0,0,0,0,0,0,2,0
735,0,0,1,0,0,0,0,1
736,0,1,0,0,0,1,11,0
737,0,0,0,0,0,0,2,0
738,-1,0,0,1,0,0,8,1
739,0,1,0,0,0,1,1,0
740,0,0,0,0,0,0,3,0
741,0,1,0,1,0,1,5,1
742,0,1,0,0,0,0,3,1
743,1,1,0,0,0,1,7,0
744,0,1,0,0,0,1,-1,0
745,0,0,1,0,0,0,0,0
746,0,1,0,1,0,0,4,0
747,-1,0,0,1,0,0,0,0
748,0,0,0,1,0,0,8,0
749,0,0,1,1,0,0,8,1
750,1,1,0,1,0,1,6,0
751,1,0,0,0,0,0,6,0
752,0,1,0,1,0,1,5,1
753,0,1,0,1,0,0,-1,1
754,0,1,0,0,0,1,0,0
755,0,0,0,1,0,0,1,0
756,0,1,0,0,0,1,1,0
757,0,0,0,0,0,0,2,1
758,0,0,0,0,0,0,0,0
759,0,1,0,0,0,0,1,0
760,0,1,0,1,0,1,1,0
761,0,0,0,0,0,0,2,0
762,0,1,0,0,0,0,13,0
763,-1,1,0,1,0,1,7,1
